id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Red Clay Road,Dusty Hollow,country,nostalgic,0.55,96,0.73,0.65,0.80
12,Carnival Lights,Rumba Kings,latin,euphoric,0.88,105,0.92,0.91,0.14
13,Shadow Protocol,Darkwave Echo,metal,angry,0.97,168,0.22,0.50,0.06
14,Sunday Morning Gospel,The Covenant Choir,gospel,uplifting,0.63,88,0.89,0.70,0.74
15,Broken Clocks,Mira Solano,r&b,sad,0.48,85,0.31,0.61,0.55
16,City Grid,404 Collective,electronic,energetic,0.90,140,0.66,0.87,0.03
17,Dust and Bones,Prairie Wind,folk,melancholic,0.33,76,0.38,0.44,0.93
18,Inner Peace,Dharma Flow,classical,calm,0.20,58,0.74,0.28,0.98
